"MESH_ID","UMLS_CUI","ICD10CM_CODE","DRESCP"
"C531621","C0003177","A22.0","Cutaneous anthrax"
"C536774","C0153188","A52.9","Late syphilis, unspecified"
"D004670","C0014053","A83.5","California encephalitis"
"D007729","C0022802","A81.81","Kuru"
"D014397","C0041327","A15.0","Tuberculosis of lung"
"D004674","C0014060","A83.3","St Louis encephalitis"
"D006362","C0018852","C88.2","Heavy chain disease"
"D004675","C0014061","A84.9","Tick-borne viral encephalitis, unspecified"
"D018290","C0851140","D06.9","Carcinoma in situ of cervix, unspecified"
"D002007","C0302363","A23.1","Brucellosis due to Brucella abortus"
"D009164","C0026918","A31.9","Mycobacterial infection, unspecified"
"D012282","C0035585","A79.9","Rickettsiosis, unspecified"
"D014895","C0043102","A27.0","Leptospirosis icterohemorrhagica"
"D007889","C0042133","D25.9","Leiomyoma of uterus, unspecified"
"D019595","C0019100","A91","Dengue hemorrhagic fever"
"D001063","C0496779","C18.1","Malignant neoplasm of appendix"
"D016781","C0085315","B58.2","Toxoplasma meningoencephalitis"
"D014437","C0041472","A75.2","Typhus fever due to Rickettsia typhi"
"D008368","C0024759","B74.4","Mansonelliasis"
"D002181","C0700345","B37.3","Candidiasis of vulva and vagina"
"D012899","C0037354","B03","Smallpox"
"D009494","C0205858","A52.17","General paresis"
"D015439","C0023346","A30.3","Borderline leprosy"
"D008554","C0025229","A24.9","Melioidosis, unspecified"
"D007896","C0023281","B55.9","Leishmaniasis, unspecified"
"D006069","C0018081","A54.9","Gonococcal infection, unspecified"
"D008976","C0026393","B08.1","Molluscum contagiosum"
"D010284","C0030528","A01.4","Paratyphoid fever, unspecified"
"D013322","C0038463","B78.9","Strongyloidiasis, unspecified"
"D014253","C0040948","B81.2","Trichostrongyliasis"
"D015004","C0043395","A95.9","Yellow fever, unspecified"
"C537503","C0522624","C86.3","Subcutaneous panniculitis-like T-cell lymphoma"
"C571911","C0152945","A22.2","Gastrointestinal anthrax"
"C571912","C0155866","A22.1","Pulmonary anthrax"
"D001906","C1306794","A48.52","Wound botulism"
"D010854","C0040249","B36.2","White piedra"
"D010930","C0282312","A20.0","Bubonic plague"
"D006478","C0019097","A96.0","Junin hemorrhagic fever"
"D010930","C0524688","A20.2","Pneumonic plague"
"C536561","C0342739","E72.52","Trimethylaminuria"
"D000690","C0002736","G12.21","Amyotrophic lateral sclerosis"
"D002836","C0008533","D67","Hereditary factor IX deficiency"
"D003390","C0004992","D33.3","Benign neoplasm of cranial nerves"
"D004422","C0013423","G24.1","Genetic torsion dystonia"
"D006010","C0017922","E74.03","Cori disease"
"D017092","C0162530","E80.0","Hereditary erythropoietic porphyria"
"D018798","C0162316","D50.9","Iron deficiency anemia, unspecified"
"D020184","C0037320","F51.4","Sleep terrors [night terrors]"
"D020269","C0085677","G62.1","Alcoholic polyneuropathy"
"D020511","C0393939","G70.1","Toxic myoneural disorders"
"D020774","C0236642","G31.01","Pick's disease"
"D001206","C0003969","E54","Ascorbic acid deficiency"
"D002547","C0023882","G80.1","Spastic diplegic cerebral palsy"
"D003389","C0010266","G52.9","Cranial nerve disorder, unspecified"
"D005776","C0017205","E75.22","Gaucher disease"
"D006250","C0018609","E72.02","Hartnup's disease"
"D007926","C0023374","E79.1","Lesch-Nyhan syndrome"
"D002549","C0205710","G31.81","Alpers disease"
"D006009","C0017921","E74.02","Pompe disease"
"D013159","C0037998","D73.5","Infarction of spleen"
"D017565","C0036205","D86.0","Sarcoidosis of lung"
"D000544","C0494463","G30.1","Alzheimer's disease with late onset"
"D012557","C0036339","F60.1","Schizoid personality disorder"
"D013009","C0037672","F51.3","Sleepwalking [somnambulism]"
"D017085","C0002312","D56.0","Alpha thalassemia"
"D003527","C0010598","F34.0","Cyclothymic disorder"
"D006849","C0477432","G91.3","Post-traumatic hydrocephalus, unspecified"
"D011559","C0033845","G93.2","Benign intracranial hypertension"
"D006223","C0265326","E71.440","Ruvalcaba-Myhre-Smith syndrome"
"D054069","C0268596","E71.313","Glutaric aciduria type II"
"D013117","C0037926","G95.20","Unspecified cord compression"
"D009207","C0027066","G25.3","Myoclonus"
"D019082","C0175694","E78.72","Smith-Lemli-Opitz syndrome"
"D002609","C0007965","E70.330","Chediak-Higashi syndrome"
"D061686","C0033038","F52.4","Premature ejaculation"
"D012560","C0036344","F20.2","Catatonic schizophrenia"
"D013132","C0393524","G11.2","Late-onset cerebellar ataxia"
"D020178","C0393770","G47.21","Circadian rhythm sleep disorder, delayed sleep phase type"
"D015275","C0041364","E88.3","Tumor lysis syndrome"
"D004612","C0013902","D58.1","Hereditary elliptocytosis"
"D008586","C0025295","G00.1","Pneumococcal meningitis"
"D002547","C0007789","G80.9","Cerebral palsy, unspecified"
"D005067","C0015190","E07.81","Sick-euthyroid syndrome"
"D022861","C0079504","E70.331","Hermansky-Pudlak syndrome"
"D000471","C0002063","E87.3","Alkalosis"
"D000740","C0002871","D64.9","Anemia, unspecified"
"D003681","C0011175","E86.0","Dehydration"
"D004483","C0013592","H02.109","Unspecified ectropion of unspecified eye, unspecified eyelid"
"D006994","C0020595","E27.40","Unspecified adrenocortical insufficiency"
"D007732","C0022806","E40","Kwashiorkor"
"D008708","C0025637","D74.9","Methemoglobinemia, unspecified"
"D009347","C0027577","E24.1","Nelson's syndrome"
"D010378","C0030764","F65.4","Pedophilia"
"D016884","C0085409","E31.0","Autoimmune polyglandular failure"
"D014843","C0042979","F65.3","Voyeurism"
"C538494","C0348890","D61.3","Idiopathic aplastic anemia"
"D020762","C0451681","G46.2","Posterior cerebral artery syndrome"
"D065227","C2921022","E87.71","Transfusion associated circulatory overload"
"D003193","C0009595","F60.5","Obsessive-compulsive personality disorder"
"D006849","C0009451","G91.0","Communicating hydrocephalus"
"D006849","C0549423","G91.1","Obstructive hydrocephalus"
"C535970","C0155299","H47.319","Coloboma of optic disc, unspecified eye"
"D011660","C0034072","I27.9","Pulmonary heart disease, unspecified"
"D004427","C0013447","H93.90","Unspecified disorder of ear, unspecified ear"
"D015794","C0008525","H31.21","Choroideremia"
"D018058","C0206504","H72.90","Unsp perforation of tympanic membrane, unspecified ear"
"D016657","C0085220","I68.0","Cerebral amyloid angiopathy"
"D006319","C0018784","H90.5","Unspecified sensorineural hearing loss"
"D014823","C0042909","H43.10","Vitreous hemorrhage, unspecified eye"
"D003117","C0155015","H53.54","Protanomaly"
"D015814","C0028841","H44.40","Unspecified hypotony of eye"
"D008417","C0024904","H70.90","Unspecified mastoiditis, unspecified ear"
"D011305","C0033075","H52.4","Presbyopia"
"C562733","C0311338","H35.52","Pigmentary retinal dystrophy"
"D003117","C0155018","H53.52","Acquired color vision deficiency"
"D002037","C0085615","I45.0","Right fascicular block"
"D013285","C0152223","H50.60","Mechanical strabismus, unspecified"
"D015835","C0271380","H51.12","Convergence excess"
"D002037","C0023211","I44.7","Left bundle-branch block, unspecified"
"D063371","C0395887","H74.09","Tympanosclerosis, unspecified ear"
"D003317","C0018179","H18.53","Granular corneal dystrophy"
"D005099","C0152217","H50.52","Exophoria"
"C562470","C0238378","J84.115","Respiratory bronchiolitis interstitial lung disease"
"D003790","C0011407","K04.1","Necrosis of pulp"
"D006504","C0019156","K76.5","Hepatic veno-occlusive disease"
"D011023","C0032308","J15.20","Pneumonia due to staphylococcus, unspecified"
"D016491","C0085096","I73.9","Peripheral vascular disease, unspecified"
"D012466","C0036093","K11.9","Disease of salivary gland, unspecified"
"D012872","C0085932","L13.9","Bullous disorder, unspecified"
"D017514","C0162852","L41.0","Pityriasis lichenoides et varioliformis acuta"
"D004066","C0012242","K92.9","Disease of digestive system, unspecified"
"D010510","C0031090","K05.6","Periodontal disease, unspecified"
"D012628","C0036508","L21.9","Seborrheic dermatitis, unspecified"
"D008103","C0239946","K74.0","Hepatic fibrosis"
"D056684","C0221348","L60.5","Yellow nail syndrome"
"D000126","C0001075","K31.83","Achlorhydria"
"D007925","C0023370","I74.01","Saddle embolus of abdominal aorta"
"D008105","C0238065","K74.4","Secondary biliary cirrhosis"
"D012594","C0263409","L94.1","Linear scleroderma"
"D019449","C0376620","K91.850","Pouchitis"
"D004814","C0014511","L72.0","Epidermal cyst"
"D006255","C0018621","J30.1","Allergic rhinitis due to pollen"
"D009450","C0149922","L28.0","Lichen simplex chronicus"
"D017499","C0265970","L56.5","Disseminated superficial actinic porokeratosis (DSAP)"
"D014095","C0040456","K01.1","Impacted teeth"
"D012594","C0036420","L94.0","Localized scleroderma [morphea]"
"D006530","C0019212","K76.7","Hepatorenal syndrome"
"D006936","C0020441","K03.4","Hypercementosis"
"D009298","C0027430","J33.0","Polyp of nasal cavity"
"D009914","C0029172","K13.5","Oral submucous fibrosis"
"D011009","C0032273","J64","Unspecified pneumoconiosis"
"D011018","C0155862","J13","Pneumonia due to Streptococcus pneumoniae"
"D011538","C0033775","L29.0","Pruritus ani"
"D011539","C0033778","L29.2","Pruritus vulvae"
"D012005","C0034888","K62.3","Rectal prolapse"
"D012467","C0036094","K11.4","Fistula of salivary gland"
"D012806","C0037061","J63.4","Siderosis"
"D054039","C0085661","L60.1","Onycholysis"
"D000069316","C0263442","L70.1","Acne conglobata"
"D005244","C0015734","K56.41","Fecal impaction"
"C562489","C0264511","J84.2","Lymphoid interstitial pneumonia"
"D000784","C0340643","I71.00","Dissection of unspecified site of aorta"
"D008548","C0016689","L81.2","Freckles"
"D001528","C0004943","M35.2","Behcet's disease"
"D012595","C0036421","M34.9","Systemic sclerosis, unspecified"
"D006073","C0018099","M10.9","Gout, unspecified"
"D001168","C0162323","M13.0","Polyarthritis, unspecified"
"D013991","C0040213","M94.0","Chondrocostal junction syndrome [Tietze]"
"D002357","C0085700","M94.20","Chondromalacia, unspecified site"
"D006828","C0020217","O01.9","Hydatidiform mole, unspecified"
"D012410","C0035921","P35.0","Congenital rubella syndrome"
"D011272","C0032989","O30.90","Multiple gestation, unspecified, unspecified trimester"
"D001744","C0005683","N21.0","Calculus in bladder"
"D053201","C0878773","N32.81","Overactive bladder"
"D050032","C0271815","O90.5","Postpartum thyroiditis"
"D058186","C0022660","N17.9","Acute kidney failure, unspecified"
"D000030","C0000814","O02.1","Missed abortion"
"D004823","C0014534","N45.1","Epididymitis"
"D006399","C0018934","N89.7","Hematocolpos"
"D007247","C0021361","N97.9","Female infertility, unspecified"
"D009839","C0028949","N91.5","Oligomenorrhea, unspecified"
"D000071936","C0149741","N64.52","Nipple discharge"
"D052065","C2004487","N94.2","Vaginismus"
"D011293","C0376356","N94.3","Premenstrual tension syndrome"
"C535788","C2745959","Q77.7","Spondyloepiphyseal dysplasia"
"C537438","C0265740","Q30.1","Agenesis and underdevelopment of nose"
"C536482","C1609433","Q60.1","Renal agenesis, bilateral"
"C536376","C0149955","Q45.1","Annular pancreas"
"C562557","C0266011","Q83.3","Accessory nipple"
"D012021","C0034933","R29.2","Abnormal reflex"
"D004687","C0014084","Q78.4","Enchondromatosis"
"D008209","C1704423","Q82.0","Hereditary lymphedema"
"D006475","C0019088","P53","Hemorrhagic disease of newborn"
"D016135","C0080178","Q05.9","Spina bifida, unspecified"
"D001259","C0004134","R27.0","Ataxia, unspecified"
"D012769","C0036974","R57.9","Shock, unspecified"
"D017253","C0162678","Q85.00","Neurofibromatosis, unspecified"
"D017490","C0239849","Q80.4","Harlequin fetus"
"D004844","C0014591","R04.0","Epistaxis"
"D014839","C0042963","R11.10","Vomiting, unspecified"
"D011535","C0033770","Q79.4","Prune belly syndrome"
"D004417","C0013404","R06.00","Dyspnea, unspecified"
"D008850","C0026010","Q11.2","Microphthalmos"
"D006337","C0018808","R01.1","Cardiac murmur, unspecified"
"D014428","C0041428","Q89.4","Conjoined twins"
"D020234","C0751837","R26.0","Ataxic gait"
"D006963","C0020505","R63.2","Polyphagia"
"D006606","C0019521","R06.6","Hiccough"
"D014339","C0041207","Q20.0","Common arterial trunk"
"D001044","C0003564","R49.1","Aphonia"
"D016110","C0079298","Q81.0","Epidermolysis bullosa simplex"
"D016142","C0079541","Q04.2","Holoprosencephaly"
"D008865","C0026034","Q18.5","Microstomia"
"D014997","C0043379","Q98.5","Karyotype 47, XYY"
"D053159","C0013428","R30.9","Painful micturition, unspecified"
"D059020","C0424000","R45.851","Suicidal ideations"
"D006212","C0233762","R44.0","Auditory hallucinations"
"D007829","C0396051","Q31.1","Congenital subglottic stenosis"
"D000073839","C0152095","Q91.7","Trisomy 13, unspecified"
"D001037","C0973461","R47.02","Dysphasia"
"D012769","C0020683","R57.1","Hypovolemic shock"
"D004480","C0031575","Q73.1","Phocomelia, unspecified limb(s)"
"D006055","C0018041","Y93.53","Activity, golf"
"D014438","C0006181","A75.1","Recrudescent typhus [Brill's disease]"
"D007968","C0023524","A81.2","Progressive multifocal leukoencephalopathy"
"D008577","C0348375","C70.9","Malignant neoplasm of meninges, unspecified"
"D008589","C0025303","A39.9","Meningococcal infection, unspecified"
"D012749","C0036916","A64","Unspecified sexually transmitted disease"
"D008193","C0024198","A69.20","Lyme disease, unspecified"
"D013590","C0039131","A50.9","Congenital syphilis, unspecified"
"D004675","C0015632","A84.0","Far Eastern tick-borne encephalitis"
"D009617","C0028242","A43.9","Nocardiosis, unspecified"
"D010322","C0205882","B34.3","Parvovirus infection, unspecified"
"D014399","C0041330","A18.01","Tuberculosis of spine"
"D012772","C0600327","A48.3","Toxic shock syndrome"
"D005077","C0015231","B08.20","Exanthema subitum [sixth disease], unspecified"
"D004444","C0013504","B67.8","Echinococcosis, unspecified, of liver"
"D014438","C0041473","A75.0","Epidemic louse-borne typhus fever d/t Rickettsia prowazekii"
"D012553","C1704430","B65.0","Schistosomiasis due to Schistosoma haematobium"
"D005706","C0153452","C23","Malignant neoplasm of gallbladder"
"D012514","C0036220","C46.9","Kaposi's sarcoma, unspecified"
"D014396","C0041326","A15.6","Tuberculous pleurisy"
"D010237","C0030424","B66.4","Paragonimiasis"
"D065632","C0008055","A92.0","Chikungunya virus disease"
"D014067","C0751560","C09.9","Malignant neoplasm of tonsil, unspecified"
"D006925","C0020413","B71.0","Hymenolepiasis"
"D014353","C0041228","B56.9","African trypanosomiasis, unspecified"
"D003235","C0009770","A74.0","Chlamydial conjunctivitis"
"D016778","C0024535","B50.9","Plasmodium falciparum malaria, unspecified"
"D013589","C0039130","A52.00","Cardiovascular syphilis, unspecified"
"D007922","C0023364","A27.9","Leptospirosis, unspecified"
"D006660","C0019655","B39.9","Histoplasmosis, unspecified"
"D001447","C0004692","A07.0","Balantidiasis"
"D017189","C0006899","B81.1","Intestinal capillariasis"
"D000073605","C2979888","A77.3","Spotted fever due to Rickettsia australis"
"D003457","C0010418","A07.2","Cryptosporidiosis"
"D000724","C0002831","B76.0","Ancylostomiasis"
"D003551","C0010678","B69.9","Cysticercosis, unspecified"
"D004886","C0014733","A46","Erysipelas"
"D016773","C0023283","B55.1","Cutaneous leishmaniasis"
"D007897","C1328252","B55.2","Mucocutaneous leishmaniasis"
"D015440","C0023348","A30.5","Lepromatous leprosy"
"D013174","C0038034","B42.9","Sporotrichosis, unspecified"
"D008271","C0024449","B47.9","Mycetoma, unspecified"
"D016919","C0348991","B45.1","Cerebral cryptococcosis"
"D007877","C0343528","A48.2","Nonpneumonic Legionnaires' disease [Pontiac fever]"
"C537358","C0268583","E71.120","Methylmalonic acidemia"
"C537728","C0268494","E70.320","Tyrosinase negative oculocutaneous albinism"
"D005155","C0015464","G51.9","Disorder of facial nerve, unspecified"
"D005953","C0017920","E74.01","von Gierke disease"
"D007965","C0023521","E75.23","Krabbe disease"
"D012559","C0036341","F20.9","Schizophrenia, unspecified"
"D016472","C0085084","G12.20","Motor neuron disease, unspecified"
"D018814","C0025269","E31.23","Multiple endocrine neoplasia [MEN] type IIB"
"D026681","C1527330","E53.1","Pyridoxine deficiency"
"D052537","C0268243","E75.241","Niemann-Pick disease type B"
"D001008","C0003469","F41.9","Anxiety disorder, unspecified"
"D001883","C0006012","F60.3","Borderline personality disorder"
"D010661","C0751434","E70.0","Classical phenylketonuria"
"D019964","C0525045","F39","Unspecified mood [affective] disorder"
"D020961","C0752347","G31.83","Dementia with Lewy bodies"
"D000275","C0001546","F43.20","Adjustment disorder, unspecified"
"D009800","C0028860","E72.03","Lowe's syndrome"
"D012753","C0036939","F24","Shared psychotic disorder"
"D015493","C0030481","G04.1","Tropical spastic paraplegia"
"D015518","C0035372","F84.2","Rett's syndrome"
"D008059","C0026708","E76.03","Scheie's syndrome"
"D003859","C0011548","F60.7","Dependent personality disorder"
"D013158","C0037997","D73.9","Disease of spleen, unspecified"
"D020162","C0268548","E72.21","Argininemia"
"D001523","C0004936","F99","Mental disorder, not otherwise specified"
"D010698","C0349231","F40.9","Phobic anxiety disorder, unspecified"
"D019896","C0221757","E88.01","Alpha-1-antitrypsin deficiency"
"D012563","C0011251","F22","Delusional disorders"
"D009103","C0026769","G35","Multiple sclerosis"
"D006953","C0020480","E78.1","Pure hyperglyceridemia"
"D047748","C0221406","E24.0","Pituitary-dependent Cushing's disease"
"D011695","C0034152","D69.0","Allergic purpura"
"D008556","C0025235","G51.2","Melkersson's syndrome"
"D004062","C0012236","D82.1","Di George's syndrome"
"D007787","C0022951","E73.9","Lactose intolerance, unspecified"
"D006929","C0020428","E26.9","Hyperaldosteronism, unspecified"
"D009155","C0236818","F94.0","Selective mutism"
"D013921","C0040034","D69.6","Thrombocytopenia, unspecified"
"D016750","C0085292","G25.82","Stiff-man syndrome"
"D051270","C0751191","G44.85","Primary stabbing headache"
"D006043","C0018022","E01.0","Iodine-deficiency related diffuse (endemic) goiter"
"D008583","C0025292","G00.0","Hemophilus meningitis"
"D007008","C0020621","E87.6","Hypokalemia"
"D012563","C0036349","F20.0","Paranoid schizophrenia"
"D017086","C0005283","D56.1","Beta thalassemia"
"D009190","C3463824","D46.9","Myelodysplastic syndrome, unspecified"
"D013734","C0268301","E34.52","Partial androgen insensitivity syndrome"
"D014190","C0040774","F65.1","Transvestic fetishism"
"D004213","C0020703","F44.1","Dissociative fugue"
"D000379","C0001818","F40.00","Agoraphobia, unspecified"
"D001764","C0005747","G24.5","Blepharospasm"
"D008303","C0024586","E34.0","Carcinoid syndrome"
"D009503","C0027947","D70.9","Neutropenia, unspecified"
"D000067454","C2921028","F80.81","Childhood onset fluency disorder"
"C537357","C1856061","E72.12","Methylenetetrahydrofolate reductase deficiency"
"C562868","C0398648","D69.51","Posttransfusion purpura"
"D020186","C0393774","G47.63","Sleep related bruxism"
"D065227","C0398648","D69.51","Posttransfusion purpura"
"D007174","C0022734","F63.2","Kleptomania"
"C537743","C1306122","H53.63","Congenital night blindness"
"C537458","C0152110","G57.10","Meralgia paresthetica, unspecified lower limb"
"D001342","C1145628","G90.9","Disorder of the autonomic nervous system, unspecified"
"D015862","C0008521","H31.9","Unspecified disorder of choroid"
"D009916","C0029182","H05.9","Unspecified disorder of orbit"
"D004172","C0012569","H53.2","Diplopia"
"D053559","C0339277","H18.52","Epithelial (juvenile) corneal dystrophy"
"D001926","C0006110","G93.82","Brain death"
"D005094","C0015300","H05.20","Unspecified exophthalmos"
"D010009","C0036391","G71.13","Myotonic chondrodystrophy"
"D001763","C0005745","H02.409","Unspecified ptosis of unspecified eyelid"
"D005130","C0015402","H44.819","Hemophthalmos, unspecified eye"
"D015877","C0026205","H57.03","Miosis"
"D003117","C0155016","H53.53","Deuteranomaly"
"D006988","C0020581","H21.00","Hyphema, unspecified eye"
"D007634","C0022568","H16.9","Unspecified keratitis"
"D020422","C0494491","G58.9","Mononeuropathy, unspecified"
"D011115","C0152025","G62.9","Polyneuropathy, unspecified"
"D020425","C0154744","G56.30","Lesion of radial nerve, unspecified upper limb"
"D015835","C0152219","H50.54","Cyclophoria"
"D020426","C0154748","G57.00","Lesion of sciatic nerve, unspecified lower limb"
"D007906","C0023309","H27.10","Unspecified dislocation of lens"
"D003117","C0152200","H53.51","Achromatopsia"
"D013117","C0742803","G95.81","Conus medullaris syndrome"
"C566795","C1868193","J93.11","Primary spontaneous pneumothorax"
"D001250","C0015263","J45.990","Exercise induced bronchospasm"
"D015837","C0042594","H81.90","Unspecified disorder of vestibular function, unspecified ear"
"D002312","C0007194","I42.1","Obstructive hypertrophic cardiomyopathy"
"D020338","C0751908","H81.20","Vestibular neuronitis, unspecified ear"
"D008105","C0023892","K74.5","Biliary cirrhosis, unspecified"
"D055113","C0266929","K05.30","Chronic periodontitis, unspecified"
"D006314","C0018777","H90.2","Conductive hearing loss, unspecified"
"D010040","C0029899","H80.90","Unspecified otosclerosis, unspecified ear"
"D017733","C0206186","K13.3","Hairy leukoplakia"
"D017543","C0162870","I72.3","Aneurysm of iliac artery"
"D046089","C0155552","H90.8","Mixed conductive and sensorineural hearing loss, unspecified"
"D054038","C3160858","I67.83","Posterior reversible encephalopathy syndrome"
"D003323","C0010051","I25.41","Coronary artery aneurysm"
"D054143","C1135191","I50.20","Unspecified systolic (congestive) heart failure"
"D020065","C0600452","K76.81","Hepatopulmonary syndrome"
"D008100","C0023885","K75.0","Abscess of liver"
"D000075224","C0264886","I45.9","Conduction disorder, unspecified"
"D000074742","C1861783","I77.4","Celiac artery compression syndrome"
"D003440","C0010380","J05.0","Acute obstructive laryngitis [croup]"
"D006978","C0020545","I15.0","Renovascular hypertension"
"D010538","C0031154","K65.9","Peritonitis, unspecified"
"D016066","C0080032","J91.0","Malignant pleural effusion"
"D014077","C0040436","K03.2","Erosion of teeth"
"D054141","C0152173","I49.02","Ventricular flutter"
"D012005","C0242473","K62.2","Anal prolapse"
"C562486","C0263506","L66.3","Perifolliculitis capitis abscedens"
"D011855","C0034561","L58.9","Radiodermatitis, unspecified"
"D016706","C0085253","M06.1","Adult-onset Still's disease"
"D000505","C0162311","L64.9","Androgenic alopecia, unspecified"
"D010182","C0030286","K86.9","Disease of pancreas, unspecified"
"D010859","C0549567","L81.9","Disorder of pigmentation, unspecified"
"D002446","C0007570","K90.0","Celiac disease"
"D000507","C0002173","L65.2","Alopecia mucinosa"
"D017789","C0085653","L98.0","Pyogenic granuloma"
"D006471","C0017181","K92.2","Gastrointestinal hemorrhage, unspecified"
"D003876","C0011615","L20.81","Atopic neurodermatitis"
"D013182","C0038054","K90.1","Tropical sprue"
"D055623","C0022602","L57.0","Actinic keratosis"
"D019557","C0263449","L71.0","Perioral dermatitis"
"D010267","C0030491","L41.9","Parapsoriasis, unspecified"
"D000052","C0000889","L83","Acanthosis nigricans"
"D004893","C0014743","L52","Erythema nodosum"
"D057767","C2745963","M12.10","Kaschin-Beck disease, unspecified site"
"D062027","C0494827","L12.2","Chronic bullous disease of childhood"
"D009080","C0026691","M30.3","Mucocutaneous lymph node syndrome [Kawasaki]"
"D011151","C0032650","M71.20","Synovial cyst of popliteal space [Baker], unspecified knee"
"D018366","C0151436","M31.0","Hypersensitivity angiitis"
"D017675","C0206138","M34.1","CR(E)ST syndrome"
"D000071380","C0158360","M72.2","Plantar fascial fibromatosis"
"D015434","C0030326","M79.3","Panniculitis, unspecified"
"D012600","C0036439","M41.9","Scoliosis, unspecified"
"D006828","C0020217","O01.0","Classical hydatidiform mole"
"D009667","C0028431","M95.0","Acquired deformity of nose"
"D001449","C0004698","N15.0","Balkan nephropathy"
"D001748","C0005694","N32.0","Bladder-neck obstruction"
"D014719","C0042582","N82.0","Vesicovaginal fistula"
"D051436","C1561643","N18.9","Chronic kidney disease, unspecified"
"D059373","C0024902","N64.4","Mastodynia"
"D013088","C0037859","N43.40","Spermatocele of epididymis, unspecified"
"D015433","C0017665","N03.2","Chronic nephritic syndrome w diffuse membranous glomrlneph"
"D002575","C0007860","N72","Inflammatory disease of cervix uteri"
"D053202","C0150045","N39.41","Urge incontinence"
"D000033","C0000821","O20.0","Threatened abortion"
"D000568","C0002453","N91.2","Amenorrhea, unspecified"
"D011472","C0033581","N41.9","Inflammatory disease of prostate, unspecified"
"C536252","C0265294","Q78.5","Metaphyseal dysplasia"
"D003966","C0011989","Q78.3","Progressive diaphyseal dysplasia"
"D009421","C0497552","Q07.9","Congenital malformation of nervous system, unspecified"
"D017488","C0079153","Q80.3","Congenital bullous ichthyosiform erythroderma"
"D004899","C0014761","P55.9","Hemolytic disease of newborn, unspecified"
"D007647","C0022610","P57.9","Kernicterus, unspecified"
"D007690","C0022680","Q61.3","Polycystic kidney, unspecified"
"D012868","C0037268","Q82.9","Congenital malformation of skin, unspecified"
"D015619","C0035238","Q34.9","Congenital malformation of respiratory system, unspecified"
"D007775","C0022927","O92.70","Unspecified disorders of lactation"
"D003410","C0010314","Q93.4","Deletion of short arm of chromosome 5"
"D002754","C0008297","Q30.0","Choanal atresia"
"D006554","C1306503","Q79.2","Exomphalos"
"D006941","C0020453","R20.3","Hyperesthesia"
"D012587","C0036400","Q26.2","Total anomalous pulmonary venous connection"
"D016114","C0079588","Q80.1","X-linked ichthyosis"
"D006871","C0020302","Q15.0","Congenital glaucoma"
"D007713","C0022735","Q98.0","Klinefelter syndrome karyotype 47, XXY"
"D017689","C0152427","Q69.9","Polydactyly, unspecified"
"D013576","C0039075","Q70.9","Syndactyly, unspecified"
"D003394","C0010273","Q75.1","Craniofacial dysostosis"
"D005207","C0015644","R25.3","Fasciculation"
"D001259","C0520966","R27.9","Unspecified lack of coordination"
"D005359","C0016065","Q78.1","Polyostotic fibrous dysplasia"
"D016136","C0080174","Q76.0","Spina bifida occulta"
"D000037","C0000832","O45.90","Premature separation of placenta, unsp, unsp trimester"
"D007565","C0022346","R17","Unspecified jaundice"
"D053158","C0028734","R35.1","Nocturia"
"D052177","C1691228","Q61.9","Cystic kidney disease, unspecified"
"D003128","C0009421","R40.20","Unspecified coma"
"D005413","C0152237","Q66.4","Congenital talipes calcaneovalgus"
"D006972","C0020534","Q75.2","Hypertelorism"
"D002637","C0008031","R07.9","Chest pain, unspecified"
"D002821","C0008495","O41.1290","Chorioamnionitis, unsp trimester, not applicable or unsp"
"D013610","C0039231","R00.0","Tachycardia, unspecified"
"D059608","C0265761","Q31.3","Laryngocele"
"C538411","C0011989","Q78.3","Progressive diaphyseal dysplasia"
"D009436","C0011999","Q06.2","Diastematomyelia"
"D015835","C0028856","R29.891","Ocular torticollis"
"D010612","C0242429","R07.0","Pain in throat"
"D012135","C0043144","R06.2","Wheezing"
"D006261","C0018681","R51","Headache"
"D001037","C0003537","R47.01","Aphasia"
"D007662","C0162275","R82.4","Acetonuria"
"D018458","C0242670","R40.3","Persistent vegetative state"
"D006791","C0020039","R45.5","Hostility"
"D001007","C0027769","R45.0","Nervousness"
"D000857","C0003126","R43.0","Anosmia"
"D000196","C0001261","A42.9","Actinomycosis, unspecified"
"D004685","C0014078","A92.2","Venezuelan equine fever"
"D005368","C0016085","B74.9","Filariasis, unspecified"
"D007562","C0022336","A81.00","Creutzfeldt-Jakob disease, unspecified"
"D009494","C0027927","A52.3","Neurosyphilis, unspecified"
"D001932","C0153633","C71.9","Malignant neoplasm of brain, unspecified"
"D011000","C0032238","B33.0","Epidemic myalgia"
"D004769","C0014378","B34.1","Enterovirus infection, unspecified"
"D009181","C0026946","B49","Unspecified mycosis"
"D002006","C0006309","A23.9","Brucellosis, unspecified"
"D010190","C0346647","C25.9","Malignant neoplasm of pancreas, unspecified"
"D011778","C0034362","A78","Q fever"
"D014625","C0042237","C52","Malignant neoplasm of vagina"
"D013160","C0153470","C26.1","Malignant neoplasm of spleen"
"D014390","C0041318","A17.0","Tuberculous meningitis"
"D006100","C0018190","A58","Granuloma inguinale"
"D003715","C0011311","A90","Dengue fever [classical dengue]"
"D014010","C0040262","B36.0","Pityriasis versicolor"
"D006480","C0019101","A98.5","Hemorrhagic fever with renal syndrome"
"D014126","C0040561","B58.00","Toxoplasma oculopathy, unspecified"
"D007816","C0023049","B83.0","Visceral larva migrans"
"D010930","C0152936","A20.7","Septicemic plague"
